GRD_INSPIR_100;RAHVAARV_KOKKU;RAHVAARV_ELUHOONES;RAHVAARV_KESKUSES
100mN65840E05365;1;1;0
100mN65840E05374;12;12;0
100mN65843E05372;112;112;0
100mN65815E05368;25;25;0
100mN65814E05371;18;18;0
100mN65813E05372;26;26;0
100mN65814E05372;10;10;0
100mN65827E05363;15;15;0
100mN65837E05370;165;165;0
100mN65815E05373;24;24;0
100mN65824E05368;13;13;0
100mN65844E05374;1;1;0
100mN65816E05374;12;12;0
100mN65807E05363;8;8;0
100mN65811E05362;27;27;0
100mN65811E05376;44;44;0
100mN65812E05376;64;64;0
100mN65812E05378;70;70;0
100mN65809E05374;15;15;0
100mN65810E05368;4;4;0
100mN65837E05390;15;15;0
100mN65841E05376;4;4;0
100mN65834E05399;42;42;0
100mN65845E05377;129;129;0
100mN65830E05407;21;21;0
100mN65844E05386;335;335;0
100mN65836E05400;7;7;0
100mN65847E05376;339;339;0
100mN65845E05379;324;324;0
100mN65849E05380;152;152;0
100mN65845E05389;203;203;0
100mN65851E05383;109;109;0
100mN65850E05386;333;333;0
100mN65849E05387;192;192;0
100mN65820E05409;78;78;0
100mN65821E05408;214;214;0
100mN65838E05402;13;13;0
100mN65837E05403;43;43;0
100mN65822E05408;59;59;0
100mN65837E05404;39;39;0
100mN65837E05405;21;21;0
100mN65844E05391;192;192;0
100mN65821E05421;49;49;0
100mN65834E05384;37;37;0
100mN65835E05383;18;18;0
100mN65834E05385;46;46;0
100mN65834E05386;88;88;0
100mN65835E05385;11;11;0
100mN65835E05387;17;17;0
100mN65833E05397;37;37;0
100mN65835E05395;13;13;0
100mN65835E05396;8;8;0
100mN65824E05406;19;19;0
100mN65825E05406;17;17;0
100mN65835E05388;3;3;0
100mN65837E05393;10;10;0
100mN65872E05365;162;162;0
100mN65873E05367;4;4;0
100mN65878E05364;5;5;0
100mN65888E05344;3;3;0
100mN65897E05347;6;6;0
100mN65894E05353;7;7;0
100mN65820E05382;9;9;0
100mN65886E05339;6;6;0
100mN65887E05336;5;5;0
100mN65891E05325;9;9;0
100mN65815E05376;28;28;0
100mN65814E05377;11;11;0
100mN65812E05380;4;4;0
100mN65813E05380;32;32;0
100mN65820E05376;31;31;0
100mN65821E05382;11;11;0
100mN65822E05380;8;8;0
100mN65823E05380;3;3;0
100mN65818E05384;40;40;0
100mN65818E05390;24;24;0
100mN65819E05390;10;10;0
100mN65822E05384;11;11;0
100mN65822E05386;15;15;0
100mN65822E05387;22;22;0
100mN65817E05397;16;16;0
100mN65818E05391;5;5;0
100mN65829E05396;27;27;0
100mN65833E05391;15;15;0
100mN65816E05379;17;17;0
100mN65820E05404;160;160;0
100mN65819E05406;14;14;0
100mN65820E05400;23;23;0
100mN65822E05402;153;153;0
100mN65823E05397;20;20;0
100mN65828E05382;28;28;0
100mN65882E05422;128;128;0
100mN65829E05398;47;47;0
100mN65822E05391;29;29;0
100mN65822E05394;13;13;0
100mN65822E05396;19;19;0
100mN65825E05382;33;33;0
100mN65830E05394;52;52;0
100mN65831E05389;35;35;0
100mN65831E05383;25;25;0
100mN65831E05384;11;11;0
100mN65833E05384;40;40;0
100mN65833E05385;28;28;0
100mN65826E05380;30;30;0
100mN65833E05388;24;24;0
100mN65833E05394;30;30;0
100mN65823E05384;32;32;0
100mN65825E05386;2;2;0
100mN65823E05387;3;3;0
100mN65824E05388;7;7;0
100mN65825E05393;23;23;0
100mN65825E05396;11;11;0
100mN65826E05392;9;9;0
100mN65827E05391;23;23;0
100mN65830E05400;27;27;0
100mN65830E05401;16;16;0
100mN65829E05402;12;12;0
100mN65832E05401;26;26;0
100mN65828E05388;23;23;0
100mN65829E05378;11;11;0
100mN65826E05397;7;7;0
100mN65823E05400;5;5;0
100mN65832E05404;25;25;0
100mN65830E05377;15;15;0
100mN65829E05382;6;6;0
100mN65830E05379;32;32;0
100mN65830E05380;7;7;0
100mN65833E05375;15;15;0
100mN65825E05401;36;36;0
100mN65833E05379;18;18;0
100mN65833E05381;75;75;0
100mN65825E05405;20;20;0
100mN65827E05401;21;21;0
100mN65829E05386;19;19;0
100mN65827E05403;4;4;0
100mN65819E05407;63;63;0
100mN65869E05364;131;131;0
100mN65895E05328;14;14;0
100mN65896E05326;4;4;0
100mN65897E05327;1;1;0
100mN65890E05339;13;13;0
100mN65814E05379;16;16;0
100mN65814E05381;12;12;0
100mN65896E05332;2;2;0
100mN65898E05334;10;10;0
100mN65894E05338;10;10;0
100mN65816E05380;36;36;0
100mN65869E05368;171;171;0
100mN65869E05367;155;155;0
100mN65897E05339;11;11;0
100mN65870E05367;161;161;0
100mN65884E05353;29;29;0
100mN65884E05352;5;5;0
100mN65818E05375;114;114;0
100mN65819E05377;23;23;0
100mN65859E05391;186;186;0
100mN65860E05390;527;527;0
100mN65857E05399;166;166;0
100mN65861E05395;17;17;0
100mN65864E05395;19;19;0
100mN65863E05399;16;16;0
100mN65861E05404;31;31;0
100mN65862E05404;16;16;0
100mN65872E05409;22;22;0
100mN65847E05402;1;1;0
100mN65866E05401;35;35;0
100mN65864E05404;33;33;0
100mN65864E05406;28;28;0
100mN65864E05405;1;1;0
100mN65865E05405;6;6;0
100mN65869E05381;2;2;0
100mN65871E05381;15;15;0
100mN65871E05382;16;16;0
100mN65874E05380;37;37;0
100mN65875E05383;34;34;0
100mN65875E05384;37;37;0
100mN65866E05405;6;6;0
100mN65867E05402;2;2;0
100mN65868E05400;6;6;0
100mN65871E05398;252;252;0
100mN65865E05412;126;126;0
100mN65860E05415;41;41;0
100mN65863E05414;25;25;0
100mN65863E05415;54;54;0
100mN65875E05399;599;599;0
100mN65871E05401;326;326;0
100mN65876E05404;11;11;0
100mN65864E05414;24;24;0
100mN65870E05404;8;8;0
100mN65869E05405;13;13;0
100mN65872E05398;463;463;0
100mN65855E05408;9;9;0
100mN65857E05407;19;19;0
100mN65865E05417;53;53;0
100mN65857E05412;14;14;0
100mN65864E05421;273;273;0
100mN65875E05394;25;25;0
100mN65874E05398;208;208;0
100mN65859E05408;19;19;0
100mN65857E05422;8;8;0
100mN65860E05413;12;12;0
100mN65867E05407;34;34;0
100mN65872E05400;59;59;0
100mN65873E05401;11;11;0
100mN65860E05419;106;106;0
100mN65861E05408;24;24;0
100mN65857E05423;1;1;0
100mN65863E05427;16;16;0
100mN65862E05411;24;24;0
100mN65861E05413;6;6;0
100mN65868E05407;46;46;0
100mN65864E05409;6;6;0
100mN65865E05407;204;204;0
100mN65864E05410;14;14;0
100mN65864E05411;21;21;0
100mN65864E05412;9;9;0
100mN65866E05422;92;92;0
100mN65864E05428;5;5;0
100mN65860E05399;8;8;0
100mN65858E05403;13;13;0
100mN65847E05393;227;227;0
100mN65847E05392;469;469;0
100mN65848E05393;137;137;0
100mN65848E05394;143;143;0
100mN65851E05392;269;269;0
100mN65850E05394;203;203;0
100mN65850E05400;273;273;0
100mN65851E05399;60;60;0
100mN65852E05401;251;251;0
100mN65852E05400;199;199;0
100mN65836E05409;24;24;0
100mN65836E05413;3;3;0
100mN65837E05410;49;49;0
100mN65837E05413;63;63;0
100mN65836E05416;3;3;0
100mN65845E05450;4;4;0
100mN65853E05461;9;9;0
100mN65848E05408;180;180;0
100mN65848E05411;13;13;0
100mN65850E05408;6;6;0
100mN65850E05409;55;55;0
100mN65859E05377;4;4;0
100mN65858E05384;191;191;0
100mN65847E05395;75;75;0
100mN65848E05390;128;128;0
100mN65893E05405;114;114;0
100mN65898E05402;76;76;0
100mN65898E05403;110;110;0
100mN65880E05407;78;78;0
100mN65878E05417;163;163;0
100mN65880E05410;49;49;0
100mN65877E05418;35;35;0
100mN65880E05414;68;68;0
100mN65880E05415;114;114;0
100mN65883E05412;104;104;0
100mN65887E05407;62;62;0
100mN65887E05409;189;189;0
100mN65886E05412;93;93;0
100mN65886E05413;104;104;0
100mN65883E05421;96;96;0
100mN65884E05416;29;29;0
100mN65883E05427;64;64;0
100mN65886E05428;191;191;0
100mN65883E05433;43;43;0
100mN65880E05423;17;17;0
100mN65885E05427;4;4;0
100mN65881E05412;70;70;0
100mN65893E05404;102;102;0
100mN65872E05407;27;27;0
100mN65871E05411;8;8;0
100mN65867E05429;23;23;0
100mN65869E05424;44;44;0
100mN65870E05427;10;10;0
100mN65867E05430;11;11;0
100mN65869E05432;2;2;0
100mN65873E05427;114;114;0
100mN65874E05426;64;64;0
100mN65874E05429;17;17;0
100mN65875E05424;16;16;0
100mN65876E05424;18;18;0
100mN65878E05393;76;76;0
100mN65874E05435;1;1;0
100mN65874E05437;11;11;0
100mN65878E05376;2;2;0
100mN65878E05380;2;2;0
100mN65880E05381;4;4;0
100mN65877E05383;18;18;0
100mN65878E05383;25;25;0
100mN65878E05388;20;20;0
100mN65877E05389;9;9;0
100mN65879E05390;19;19;0
100mN65880E05389;7;7;0
100mN65877E05405;40;40;0
100mN65886E05405;205;205;0
100mN65879E05404;3;3;0
100mN65886E05402;152;152;0
100mN65886E05403;229;229;0
100mN65887E05402;118;118;0
100mN65896E05390;120;120;0
100mN65890E05403;196;196;0
100mN65897E05394;248;248;0
100mN65891E05404;66;66;0
100mN65867E05413;77;77;0
100mN65874E05421;225;225;0
100mN65866E05417;124;124;0
100mN65867E05417;67;67;0
100mN65866E05419;276;276;0
100mN65870E05418;26;26;0
100mN65869E05420;2;2;0
100mN65883E05440;207;207;0
100mN65882E05446;66;66;0
100mN65882E05448;97;97;0
100mN65883E05457;350;350;0
100mN65886E05459;129;129;0
100mN65887E05465;561;561;0
100mN65885E05462;33;33;0
100mN65887E05463;570;570;0
100mN65889E05437;260;260;0
100mN65888E05465;263;263;0
100mN65888E05441;105;105;0
100mN65887E05468;207;207;0
100mN65887E05452;196;196;0
100mN65891E05448;8;8;0
100mN65893E05439;257;257;0
100mN65889E05465;294;294;0
100mN65893E05440;15;15;0
100mN65894E05438;199;199;0
100mN65895E05438;55;55;0
100mN65890E05467;551;551;0
100mN65890E05468;149;149;0
100mN65888E05444;6;6;0
100mN65894E05446;36;36;0
100mN65890E05453;5;5;0
100mN65888E05462;251;251;0
100mN65888E05463;225;225;0
100mN65892E05440;12;12;0
100mN65886E05439;301;301;0
100mN65884E05447;295;295;0
100mN65886E05450;229;229;0
100mN65885E05441;2;2;0
100mN65884E05448;423;423;0
100mN65886E05435;94;94;0
100mN65889E05414;243;243;0
100mN65888E05420;29;29;0
100mN65895E05414;41;41;0
100mN65891E05419;31;31;0
100mN65893E05421;38;38;0
100mN65894E05421;9;9;0
100mN65896E05419;145;145;0
100mN65897E05419;63;63;0
100mN65896E05421;1;1;0
100mN65896E05420;3;3;0
100mN65889E05423;72;72;0
100mN65889E05424;89;89;0
100mN65892E05422;38;38;0
100mN65892E05423;50;50;0
100mN65892E05424;30;30;0
100mN65889E05431;183;183;0
100mN65888E05434;231;231;0
100mN65878E05448;30;30;0
100mN65879E05447;190;190;0
100mN65888E05435;54;54;0
100mN65856E05462;66;66;0
100mN65857E05462;18;18;0
100mN65878E05451;170;170;0
100mN65891E05434;16;16;0
100mN65871E05437;197;197;0
100mN65876E05452;6;6;0
100mN65870E05472;2;2;0
100mN65871E05470;4;4;0
100mN65880E05438;71;71;0
100mN65879E05439;1;1;0
100mN65892E05435;501;501;0
100mN65892E05434;67;67;0
100mN65882E05439;1;1;0
100mN65894E05424;47;47;0
100mN65880E05442;25;25;0
100mN65893E05434;10;10;0
100mN65857E05458;9;9;0
100mN65857E05459;22;22;0
100mN65884E05433;246;246;0
100mN65885E05433;146;146;0
100mN65888E05412;70;70;0
100mN65908E05383;659;659;0
100mN65903E05392;170;170;0
100mN65899E05400;135;135;0
100mN65904E05394;93;93;0
